,mean,std,cv
photinacook.jsonl.gz,1.0,0.0,0.0
disqus_ZYpZRAZQm9.jsonl.gz,1.0,0.0,0.0
PaulRevereRidesAgain.jsonl.gz,2.0,0.0,0.0
disqus_gAeOMmeett.jsonl.gz,1.0,0.0,0.0
jerryglen.jsonl.gz,1.0,0.0,0.0
disqus_q0rwVLsPHh.jsonl.gz,1.0,0.0,0.0
paulruoso.jsonl.gz,1.0,0.0,0.0
disqus_pqaAB0uwH3.jsonl.gz,1.0,0.0,0.0
disqus_S8w69twn4y.jsonl.gz,1.0,0.0,0.0
c1776.jsonl.gz,1.0,0.0,0.0
brirus.jsonl.gz,1.0,0.0,0.0
missforchune.jsonl.gz,1.0,0.0,0.0
disqus_oNpCUiVHCH.jsonl.gz,1.0,0.0,0.0
mikenk53.jsonl.gz,1.0,0.0,0.0
hansende.jsonl.gz,1.0,0.0,0.0
frankwlilley.jsonl.gz,1.0,0.0,0.0
hugh_murray.jsonl.gz,1.0,0.0,0.0
gc5341.jsonl.gz,1.0,0.0,0.0
BanHammerJags.jsonl.gz,1.0,0.0,0.0
disqus_goJTNlLB0d.jsonl.gz,1.0,0.0,0.0
pappawtom.jsonl.gz,1.0,0.0,0.0
disqus_Jp45WqMy0r.jsonl.gz,1.0,0.0,0.0
frankdissinger.jsonl.gz,1.0,0.0,0.0
vitalejustice.jsonl.gz,1.0,0.0,0.0
disqus_sclPygQIq0.jsonl.gz,1.0,0.0,0.0
inmemoryof_yossi.jsonl.gz,1.0,0.0,0.0
claytoncramer.jsonl.gz,1.0,0.0,0.0
turnip_truck.jsonl.gz,1.0,0.0,0.0
Allotta_Tepes.jsonl.gz,1.0,0.0,0.0
