,mean,std,cv
game50.jsonl.gz,1.0,0.0,0.0
SLJones.jsonl.gz,1.0,0.0,0.0
juliodecastrotoirac.jsonl.gz,1.0,0.0,0.0
SticksInMyCraw.jsonl.gz,1.0,0.0,0.0
JMitchellMiller.jsonl.gz,1.0,0.0,0.0
disqus_0agIE22KwH.jsonl.gz,1.0,0.0,0.0
bill_hedrick.jsonl.gz,1.0,0.0,0.0
poppypapa.jsonl.gz,1.0,0.0,0.0
cattinks.jsonl.gz,1.0,0.0,0.0
mpjt16.jsonl.gz,2.0,0.0,0.0
disqus_I9qNKgqVg0.jsonl.gz,1.0,0.0,0.0
disqus_kUPCNSXjCI.jsonl.gz,1.0,0.0,0.0
shirleykotyluk.jsonl.gz,1.0,0.0,0.0
disqus_PSNESHHRcB.jsonl.gz,1.0,0.0,0.0
spikescream.jsonl.gz,1.0,0.0,0.0
epidipnis.jsonl.gz,1.0,0.0,0.0
disqus_ol1LwSSI6y.jsonl.gz,1.0,0.0,0.0
llapace.jsonl.gz,1.0,0.0,0.0
jeffkb.jsonl.gz,1.0,0.0,0.0
TexasMad71.jsonl.gz,1.0,0.0,0.0
tomstillings.jsonl.gz,1.0,0.0,0.0
disqus_GAkpjcKzXy.jsonl.gz,1.0,0.0,0.0
vrwcmama.jsonl.gz,1.0,0.0,0.0
disqus_BhBsyIbZGp.jsonl.gz,1.0,0.0,0.0
tim_trudell.jsonl.gz,1.0,0.0,0.0
disqus_Kfsb8eRv44.jsonl.gz,1.0,0.0,0.0
disqus_1bu7Y9JuwA.jsonl.gz,1.0,0.0,0.0
zaphodsrighthead.jsonl.gz,1.0,0.0,0.0
disqus_6ME8AmZfhK.jsonl.gz,1.0,0.0,0.0
disqus_fTmiiubKJH.jsonl.gz,1.0,0.0,0.0
AllenFMackenzie.jsonl.gz,1.0,0.0,0.0
crabtown.jsonl.gz,1.0,0.0,0.0
roanoke2014.jsonl.gz,1.0,0.0,0.0
billvidak.jsonl.gz,1.0,0.0,0.0
disqus_a1mP4GnAx0.jsonl.gz,1.0,0.0,0.0
mason_colbert.jsonl.gz,1.0,0.0,0.0
sjburkhardt.jsonl.gz,1.0,0.0,0.0
Adam1776.jsonl.gz,1.0,0.0,0.0
disqus_anynBfb0X2.jsonl.gz,1.0,0.0,0.0
rickgagliano.jsonl.gz,1.0,0.0,0.0
MannyMoeJack.jsonl.gz,1.0,0.0,0.0
disqus_l5TYv6aNC6.jsonl.gz,1.0,0.0,0.0
teresarapp.jsonl.gz,1.0,0.0,0.0
disqus_kXbxEFkuTE.jsonl.gz,1.0,0.0,0.0
cinsbythesea.jsonl.gz,1.0,0.0,0.0
disqus_yGjExgRuWd.jsonl.gz,1.0,0.0,0.0
SaintMidian.jsonl.gz,1.0,0.0,0.0
srichey321.jsonl.gz,1.0,0.0,0.0
blanc122.jsonl.gz,1.0,0.0,0.0
ashley2048.jsonl.gz,1.0,0.0,0.0
raymondtjackson.jsonl.gz,1.0,0.0,0.0
disqus_LZ3QrjzfwT.jsonl.gz,1.0,0.0,0.0
chasmay1.jsonl.gz,1.0,0.0,0.0
radjapan.jsonl.gz,1.0,0.0,0.0
antwrites.jsonl.gz,1.0,0.0,0.0
amossoma.jsonl.gz,1.0,0.0,0.0
samgallo.jsonl.gz,1.0,0.0,0.0
ocdhickson.jsonl.gz,1.0,0.0,0.0
disqus_MTCYNRaq1o.jsonl.gz,1.0,0.0,0.0
ANDYV101.jsonl.gz,1.0,0.0,0.0
matthewdlutz.jsonl.gz,1.0,0.0,0.0
disqus_KzipGkHM4D.jsonl.gz,1.0,0.0,0.0
leitmotif.jsonl.gz,1.0,0.0,0.0
dcase5.jsonl.gz,1.0,0.0,0.0
disqus_Bglh3LUNjH.jsonl.gz,1.0,0.0,0.0
disqus_4usoj9V6Ez.jsonl.gz,1.0,0.0,0.0
larry_leatherwood.jsonl.gz,1.0,0.0,0.0
Solus.jsonl.gz,1.0,0.0,0.0
BobMacGuffie.jsonl.gz,1.0,0.0,0.0
disqus_ri2pHUHgc9.jsonl.gz,1.0,0.0,0.0
RogerBoggledByPeople.jsonl.gz,3.0,0.0,0.0
hangman2018.jsonl.gz,2.0,0.0,0.0
disqus_nhjnuWqLvt.jsonl.gz,1.0,0.0,0.0
katok.jsonl.gz,1.0,0.0,0.0
maross600.jsonl.gz,1.0,0.0,0.0
bluegrallis.jsonl.gz,1.0,0.0,0.0
jimstingily.jsonl.gz,1.0,0.0,0.0
disqus_oF0cjHYILC.jsonl.gz,1.0,0.0,0.0
Boohog61.jsonl.gz,1.0,0.0,0.0
Netzorro.jsonl.gz,1.0,0.0,0.0
disqus_N96MDg4eB3.jsonl.gz,1.0,0.0,0.0
Traderjohn1968.jsonl.gz,1.0,0.0,0.0
jpnoggin.jsonl.gz,1.0,0.0,0.0
disqus_qSCZezSu50.jsonl.gz,1.0,0.0,0.0
geek_witha_45.jsonl.gz,1.0,0.0,0.0
markerwin.jsonl.gz,1.0,0.0,0.0
bobmosley.jsonl.gz,1.0,0.0,0.0
ShawnBoike.jsonl.gz,1.0,0.0,0.0
disqus_2awD03aO2K.jsonl.gz,1.0,0.0,0.0
disqus_sUIBSNitTM.jsonl.gz,1.0,0.0,0.0
justbebrave.jsonl.gz,1.0,0.0,0.0
disqus_0NIISEsTZy.jsonl.gz,1.0,0.0,0.0
vangup.jsonl.gz,2.0,0.0,0.0
cocamars.jsonl.gz,1.0,0.0,0.0
disqus_3W5CtCTyJ9.jsonl.gz,1.0,0.0,0.0
sanfordsklansky.jsonl.gz,1.0,0.0,0.0
asm826.jsonl.gz,1.0,0.0,0.0
disqus_0IYjkxhTv8.jsonl.gz,1.0,0.0,0.0
Northernlights13.jsonl.gz,1.0,0.0,0.0
cyby.jsonl.gz,1.0,0.0,0.0
Lilycate.jsonl.gz,1.0,0.0,0.0
wallywharton.jsonl.gz,1.0,0.0,0.0
ravintaz.jsonl.gz,1.0,0.0,0.0
richrat2.jsonl.gz,1.0,0.0,0.0
brendacanavas.jsonl.gz,1.0,0.0,0.0
kw900.jsonl.gz,1.0,0.0,0.0
realaveragejoe.jsonl.gz,1.0,0.0,0.0
Torquedoff.jsonl.gz,1.0,0.0,0.0
kenriehl.jsonl.gz,1.0,0.0,0.0
disqus_vyy59zVf8k.jsonl.gz,1.0,0.0,0.0
foxdup1.jsonl.gz,1.0,0.0,0.0
calvineray.jsonl.gz,1.0,0.0,0.0
disqus_03unSDxjoa.jsonl.gz,1.0,0.0,0.0
disqus_jHk30S53CZ.jsonl.gz,1.0,0.0,0.0
niathabiti.jsonl.gz,1.0,0.0,0.0
disqus_zybiWHNe42.jsonl.gz,1.0,0.0,0.0
markcoonan.jsonl.gz,1.0,0.0,0.0
pro_vi_one.jsonl.gz,1.0,0.0,0.0
GailWilcox.jsonl.gz,1.0,0.0,0.0
disqus_1xFityygsD.jsonl.gz,1.0,0.0,0.0
leemadison.jsonl.gz,1.0,0.0,0.0
dachs_dude.jsonl.gz,1.0,0.0,0.0
disqus_m2OKEnm2Vw.jsonl.gz,1.0,0.0,0.0
larrysekara.jsonl.gz,1.0,0.0,0.0
dezzolution.jsonl.gz,1.0,0.0,0.0
disqus_rrPJNXRCB1.jsonl.gz,1.0,0.0,0.0
Camille51.jsonl.gz,1.0,0.0,0.0
alonsoschneeweiss.jsonl.gz,1.0,0.0,0.0
disqus_9QqXrk4Nta.jsonl.gz,1.0,0.0,0.0
rjim.jsonl.gz,1.0,0.0,0.0
timmysoupmanson.jsonl.gz,1.0,0.0,0.0
nckhawk.jsonl.gz,1.0,0.0,0.0
disqus_7B7sMrEN27.jsonl.gz,1.0,0.0,0.0
medford_resident.jsonl.gz,1.0,0.0,0.0
marybelcastro.jsonl.gz,1.0,0.0,0.0
Lolefaz.jsonl.gz,1.0,0.0,0.0
billzz.jsonl.gz,1.0,0.0,0.0
scrubbie.jsonl.gz,1.0,0.0,0.0
xyzpher.jsonl.gz,1.0,0.0,0.0
disqus_adecKoLOmh.jsonl.gz,1.0,0.0,0.0
disqus_xIUTF99bl1.jsonl.gz,3.0,0.0,0.0
mikanrealist.jsonl.gz,1.0,0.0,0.0
magnusthorson.jsonl.gz,1.0,0.0,0.0
disqus_F7dYH2tqvW.jsonl.gz,1.0,0.0,0.0
sethkoch.jsonl.gz,1.0,0.0,0.0
disqus_FQ6ObJ3Ydq.jsonl.gz,1.0,0.0,0.0
kitclawson.jsonl.gz,1.0,0.0,0.0
dennis_victor.jsonl.gz,1.0,0.0,0.0
chaugabill.jsonl.gz,1.0,0.0,0.0
BobJohnson994.jsonl.gz,2.0,0.0,0.0
Justthinkin54.jsonl.gz,1.0,0.0,0.0
disqus_aM66SbEcrV.jsonl.gz,2.0,0.0,0.0
ralphavella.jsonl.gz,1.0,0.0,0.0
disqus_p2tJrsTWfQ.jsonl.gz,1.0,0.0,0.0
agooga.jsonl.gz,1.0,0.0,0.0
Eamondevalera.jsonl.gz,1.0,0.0,0.0
disqus_2FqfbPg2KO.jsonl.gz,1.0,0.0,0.0
cherylhoppiejohnson.jsonl.gz,1.0,0.0,0.0
disqus_VwZqlIZEBw.jsonl.gz,1.0,0.0,0.0
Porterville.jsonl.gz,1.0,0.0,0.0
frank_d_b.jsonl.gz,1.0,0.0,0.0
al_court.jsonl.gz,1.0,0.0,0.0
christiangroenheide.jsonl.gz,1.0,0.0,0.0
JennySmith1987.jsonl.gz,1.0,0.0,0.0
infidelio.jsonl.gz,1.0,0.0,0.0
disqus_GjjBOR4GKl.jsonl.gz,1.0,0.0,0.0
strongunit.jsonl.gz,1.0,0.0,0.0
flora68.jsonl.gz,1.0,0.0,0.0
julio_sagun_grijalva.jsonl.gz,1.0,0.0,0.0
disqus_WsqrkcJQ23.jsonl.gz,1.0,0.0,0.0
disqus_b23cGoKUxm.jsonl.gz,1.0,0.0,0.0
cliffsprunger.jsonl.gz,1.0,0.0,0.0
ladyhuckleberry.jsonl.gz,1.0,0.0,0.0
stevesheppherd.jsonl.gz,1.0,0.0,0.0
disqus_sXq3dVmkx0.jsonl.gz,1.0,0.0,0.0
tempered1.jsonl.gz,1.0,0.0,0.0
mn3169.jsonl.gz,1.0,0.0,0.0
moussaifsaid.jsonl.gz,1.0,0.0,0.0
sickofcompromise.jsonl.gz,1.0,0.0,0.0
disqus_H8f9mjkles.jsonl.gz,1.0,0.0,0.0
jamesvanlanduytjr.jsonl.gz,1.0,0.0,0.0
Chico61.jsonl.gz,1.0,0.0,0.0
GladGladys.jsonl.gz,1.0,0.0,0.0
emiliosaporito.jsonl.gz,1.0,0.0,0.0
disqus_C8cDcUYIbV.jsonl.gz,1.0,0.0,0.0
LuckyJackAubry.jsonl.gz,1.0,0.0,0.0
JimmiJames.jsonl.gz,1.0,0.0,0.0
a_j_mitchell.jsonl.gz,1.0,0.0,0.0
johnmichaeltate.jsonl.gz,1.0,0.0,0.0
maryldavenport.jsonl.gz,1.0,0.0,0.0
arthur_jensen.jsonl.gz,1.0,0.0,0.0
palnewman.jsonl.gz,1.0,0.0,0.0
llynnk.jsonl.gz,1.0,0.0,0.0
seekusmuch.jsonl.gz,1.0,0.0,0.0
jbzmn.jsonl.gz,1.0,0.0,0.0
Sanger_Gray_Beard.jsonl.gz,1.0,0.0,0.0
henry_darby.jsonl.gz,1.0,0.0,0.0
disqus_7KPQuCqDVr.jsonl.gz,1.0,0.0,0.0
russell_ward.jsonl.gz,1.0,0.0,0.0
disqus_13vxudv6zL.jsonl.gz,1.0,0.0,0.0
disqus_47gUD7oh2p.jsonl.gz,1.0,0.0,0.0
yirgach.jsonl.gz,1.0,0.0,0.0
disqus_MGnYBRnUG7.jsonl.gz,1.0,0.0,0.0
tmcbr.jsonl.gz,1.0,0.0,0.0
WhatWall.jsonl.gz,1.0,0.0,0.0
lumberjack.jsonl.gz,1.0,0.0,0.0
mr_patriot.jsonl.gz,1.0,0.0,0.0
edwiegand.jsonl.gz,1.0,0.0,0.0
rookekooke.jsonl.gz,2.0,0.0,0.0
Ddad99.jsonl.gz,1.0,0.0,0.0
irenecharlie.jsonl.gz,1.0,0.0,0.0
LazyGepid.jsonl.gz,1.0,0.0,0.0
disqus_2elAjD0xj5.jsonl.gz,1.0,0.0,0.0
aaronmatteson.jsonl.gz,1.0,0.0,0.0
espnfx.jsonl.gz,1.0,0.0,0.0
xler8rdoug.jsonl.gz,1.0,0.0,0.0
disqus_77foa3Hcuj.jsonl.gz,1.0,0.0,0.0
billcs.jsonl.gz,1.0,0.0,0.0
disqus_1dtUnhDD3l.jsonl.gz,1.0,0.0,0.0
petersitro.jsonl.gz,1.0,0.0,0.0
disqus_XTAhboVfuK.jsonl.gz,1.0,0.0,0.0
disqus_kAaUHWlMnz.jsonl.gz,1.0,0.0,0.0
podunk1.jsonl.gz,1.0,0.0,0.0
Iheartzooanimals.jsonl.gz,1.0,0.0,0.0
disqus_IOcwlZU9ha.jsonl.gz,1.0,0.0,0.0
disqus_PDuZsQVeSI.jsonl.gz,1.0,0.0,0.0
Beaglelicous1.jsonl.gz,1.0,0.0,0.0
renedaugherty.jsonl.gz,1.0,0.0,0.0
don_burton.jsonl.gz,1.0,0.0,0.0
disqus_L6cmfcuhNU.jsonl.gz,1.0,0.0,0.0
JJD306.jsonl.gz,1.0,0.0,0.0
disqus_1TsgKS1kUN.jsonl.gz,1.0,0.0,0.0
goodlfe.jsonl.gz,1.0,0.0,0.0
steveboutwell.jsonl.gz,1.0,0.0,0.0
disqus_PnBN5P0n7k.jsonl.gz,1.0,0.0,0.0
sarahmuldrowhegwood.jsonl.gz,1.0,0.0,0.0
disqus_gn9elQQAtX.jsonl.gz,1.0,0.0,0.0
mdegnon.jsonl.gz,1.0,0.0,0.0
Struble.jsonl.gz,1.0,0.0,0.0
jayneboyer.jsonl.gz,1.0,0.0,0.0
FortuneSeeker.jsonl.gz,1.0,0.0,0.0
photoman661.jsonl.gz,1.0,0.0,0.0
disqus_nA5wFaEduC.jsonl.gz,1.0,0.0,0.0
exrugger9.jsonl.gz,1.0,0.0,0.0
wicked93.jsonl.gz,1.0,0.0,0.0
samspad.jsonl.gz,1.0,0.0,0.0
Gaybinator02.jsonl.gz,1.0,0.0,0.0
disqus_rCq5UdU5V6.jsonl.gz,1.0,0.0,0.0
luvzforplay.jsonl.gz,1.0,0.0,0.0
rogerbaggett.jsonl.gz,1.0,0.0,0.0
disqus_nDh3pOuRTT.jsonl.gz,1.0,0.0,0.0
jon_larson.jsonl.gz,1.0,0.0,0.0
mark_gullick.jsonl.gz,1.0,0.0,0.0
marklowell.jsonl.gz,1.0,0.0,0.0
jindy60.jsonl.gz,1.0,0.0,0.0
ricksmclaughlin.jsonl.gz,1.0,0.0,0.0
lindagodsey.jsonl.gz,1.0,0.0,0.0
cigarvolante.jsonl.gz,1.0,0.0,0.0
galt_gulch.jsonl.gz,1.0,0.0,0.0
kellogg_md.jsonl.gz,1.0,0.0,0.0
handyjones.jsonl.gz,1.0,0.0,0.0
Al_1942.jsonl.gz,1.0,0.0,0.0
garrisongraphics.jsonl.gz,1.0,0.0,0.0
alejandrolaker.jsonl.gz,1.0,0.0,0.0
bose_sucks.jsonl.gz,1.0,0.0,0.0
disqus_bGepFhvBkY.jsonl.gz,1.0,0.0,0.0
BigRob215275.jsonl.gz,1.0,0.0,0.0
notpolliticallycorrect.jsonl.gz,1.0,0.0,0.0
mikem_inmd.jsonl.gz,1.0,0.0,0.0
Justaboyinsanfran.jsonl.gz,1.0,0.0,0.0
frenchglenmike.jsonl.gz,1.0,0.0,0.0
rosapollard.jsonl.gz,1.0,0.0,0.0
realistredneck.jsonl.gz,1.0,0.0,0.0
saitlykitiz.jsonl.gz,1.0,0.0,0.0
disqus_Y7ODXFBYZf.jsonl.gz,1.0,0.0,0.0
disqus_heBbe59Fef.jsonl.gz,1.0,0.0,0.0
disqus_ZlUvwODm0x.jsonl.gz,1.0,0.0,0.0
disqus_fSxkGGEqrC.jsonl.gz,1.0,0.0,0.0
disqus_ISHb1J6izK.jsonl.gz,1.0,0.0,0.0
disqus_LFIocWdECy.jsonl.gz,1.0,0.0,0.0
donaldwebb.jsonl.gz,1.0,0.0,0.0
shropshire_lass.jsonl.gz,1.0,0.0,0.0
disqus_hjuJvUD5SH.jsonl.gz,1.0,0.0,0.0
BuyYourOwnDamnHealthInsurance.jsonl.gz,1.0,0.0,0.0
ReasonableConservative8654.jsonl.gz,1.0,0.0,0.0
donknowlton.jsonl.gz,1.0,0.0,0.0
disqus_I1X7kPQJtU.jsonl.gz,1.0,0.0,0.0
denlee.jsonl.gz,1.0,0.0,0.0
disqus_5ScBRFizAS.jsonl.gz,1.0,0.0,0.0
kennethlou.jsonl.gz,1.0,0.0,0.0
manyfragoza.jsonl.gz,1.0,0.0,0.0
johnminter.jsonl.gz,1.0,0.0,0.0
WolfenStorm.jsonl.gz,1.0,0.0,0.0
rachel_mills.jsonl.gz,1.0,0.0,0.0
disqus_justincase575.jsonl.gz,1.0,0.0,0.0
billhodson.jsonl.gz,1.0,0.0,0.0
keithngillis.jsonl.gz,1.0,0.0,0.0
wilburngross.jsonl.gz,1.0,0.0,0.0
disqus_Vl7XUlT0o4.jsonl.gz,1.0,0.0,0.0
jeffsh.jsonl.gz,1.0,0.0,0.0
DRoberts001.jsonl.gz,1.0,0.0,0.0
disqus_8Vz46bkDgx.jsonl.gz,1.0,0.0,0.0
disqus_LMG2Y7Jvqk.jsonl.gz,1.0,0.0,0.0
john_koehler.jsonl.gz,1.0,0.0,0.0
battim.jsonl.gz,1.0,0.0,0.0
disqus_cyaOqW8KLo.jsonl.gz,1.0,0.0,0.0
bikermamalaura.jsonl.gz,1.0,0.0,0.0
joleone.jsonl.gz,1.0,0.0,0.0
bobaverill.jsonl.gz,1.0,0.0,0.0
juandiegas.jsonl.gz,1.0,0.0,0.0
101fitness.jsonl.gz,1.0,0.0,0.0
disqus_QbN35NKacx.jsonl.gz,1.0,0.0,0.0
ericdanz.jsonl.gz,1.0,0.0,0.0
disqus_OIP4f5wRVk.jsonl.gz,1.0,0.0,0.0
michael_skok.jsonl.gz,1.0,0.0,0.0
cujet.jsonl.gz,1.0,0.0,0.0
paglucio.jsonl.gz,1.0,0.0,0.0
cphine.jsonl.gz,1.0,0.0,0.0
disqus_utcmZC9KG6.jsonl.gz,1.0,0.0,0.0
reneeslinkard.jsonl.gz,1.0,0.0,0.0
jonham.jsonl.gz,1.0,0.0,0.0
ghenghisgreg.jsonl.gz,1.0,0.0,0.0
Hal49.jsonl.gz,1.0,0.0,0.0
elissamasters.jsonl.gz,1.0,0.0,0.0
iaincook.jsonl.gz,1.0,0.0,0.0
tom_shepstone.jsonl.gz,1.0,0.0,0.0
rickmurdoch.jsonl.gz,1.0,0.0,0.0
disqus_TX7cztM8Q2.jsonl.gz,1.0,0.0,0.0
disqus_Z89CLHwtUm.jsonl.gz,1.0,0.0,0.0
disqus_Z1d5XzxA19.jsonl.gz,1.0,0.0,0.0
fullkitwanker.jsonl.gz,1.0,0.0,0.0
jeffreycullen.jsonl.gz,1.0,0.0,0.0
disqus_Lt5W37fqkt.jsonl.gz,1.0,0.0,0.0
GAF114.jsonl.gz,1.0,0.0,0.0
disqus_Cybu6HBuGd.jsonl.gz,1.0,0.0,0.0
Deetsagain.jsonl.gz,1.0,0.0,0.0
mbinmn.jsonl.gz,1.0,0.0,0.0
robertshore.jsonl.gz,1.0,0.0,0.0
disqus_YNxZajYpFh.jsonl.gz,1.0,0.0,0.0
disqus_JKHsuaIaDl.jsonl.gz,1.0,0.0,0.0
disqus_HRYO67rSiZ.jsonl.gz,1.0,0.0,0.0
disqus_0XeyeBAfuC.jsonl.gz,1.0,0.0,0.0
robertpgarding.jsonl.gz,1.0,0.0,0.0
disqus_2pOKin9raW.jsonl.gz,1.0,0.0,0.0
marilyntammzayac.jsonl.gz,1.0,0.0,0.0
jim_ragan.jsonl.gz,1.0,0.0,0.0
sister_snape.jsonl.gz,1.0,0.0,0.0
disqus_zKp6p0hzYH.jsonl.gz,1.0,0.0,0.0
disqus_r1wci4F2DC.jsonl.gz,1.0,0.0,0.0
disqus_QaEUjaIucU.jsonl.gz,1.0,0.0,0.0
disqus_jjpMUaGVg4.jsonl.gz,1.0,0.0,0.0
Brock_Tune.jsonl.gz,1.0,0.0,0.0
disqus_muKAhQF3kS.jsonl.gz,1.0,0.0,0.0
bill_coffey.jsonl.gz,1.0,0.0,0.0
alexmcarthy.jsonl.gz,1.0,0.0,0.0
dannymihelich.jsonl.gz,1.0,0.0,0.0
disqus_K2tmYR0dtc.jsonl.gz,1.0,0.0,0.0
helm20558.jsonl.gz,1.0,0.0,0.0
disqus_Mx5YAcYlBe.jsonl.gz,1.0,0.0,0.0
suesarkis.jsonl.gz,1.0,0.0,0.0
achebechinua.jsonl.gz,1.0,0.0,0.0
joedaddy59.jsonl.gz,1.0,0.0,0.0
guymjackson.jsonl.gz,1.0,0.0,0.0
Growney.jsonl.gz,1.0,0.0,0.0
Pro_spark.jsonl.gz,1.0,0.0,0.0
disqus_NAzz3eim8l.jsonl.gz,1.0,0.0,0.0
blythekearney.jsonl.gz,1.0,0.0,0.0
lubertdas.jsonl.gz,1.0,0.0,0.0
kingsleyblasco.jsonl.gz,1.0,0.0,0.0
Snowguy.jsonl.gz,1.0,0.0,0.0
texlonghorn.jsonl.gz,1.0,0.0,0.0
jayman1576.jsonl.gz,1.0,0.0,0.0
disqus_ZKhBc4mfgo.jsonl.gz,1.0,0.0,0.0
disqus_Yj7fryCtNJ.jsonl.gz,1.0,0.0,0.0
michaelwiest.jsonl.gz,1.0,0.0,0.0
disqus_oxs2T0IwiO.jsonl.gz,1.0,0.0,0.0
disqus_RrO0BTLBZ5.jsonl.gz,1.0,0.0,0.0
disqus_mkdrMcRB1s.jsonl.gz,1.0,0.0,0.0
jerrynappi.jsonl.gz,1.0,0.0,0.0
disqus_7Dt9VsVHKB.jsonl.gz,1.0,0.0,0.0
johnny_cee.jsonl.gz,1.0,0.0,0.0
Bakatya.jsonl.gz,1.0,0.0,0.0
disqus_Tigj5eyuGk.jsonl.gz,1.0,0.0,0.0
rickdouglas.jsonl.gz,1.0,0.0,0.0
steven_b_southwick.jsonl.gz,1.0,0.0,0.0
kevin_blackwell.jsonl.gz,1.0,0.0,0.0
disqus_x2kHRPlB9L.jsonl.gz,1.0,0.0,0.0
disqus_SXPpPTY7xK.jsonl.gz,1.0,0.0,0.0
charlesclever.jsonl.gz,1.0,0.0,0.0
charlie_ireland.jsonl.gz,1.0,0.0,0.0
edster48.jsonl.gz,1.0,0.0,0.0
alexkelamis.jsonl.gz,1.0,0.0,0.0
mikie_c.jsonl.gz,1.0,0.0,0.0
skatmanm.jsonl.gz,1.0,0.0,0.0
mulerider.jsonl.gz,1.0,0.0,0.0
trpost.jsonl.gz,1.0,0.0,0.0
E_Conegliano.jsonl.gz,1.0,0.0,0.0
haaltim.jsonl.gz,1.0,0.0,0.0
trustme2.jsonl.gz,1.0,0.0,0.0
christianelder.jsonl.gz,1.0,0.0,0.0
Kaywhever.jsonl.gz,1.0,0.0,0.0
treblehook.jsonl.gz,1.0,0.0,0.0
disqus_2FLJGANVdK.jsonl.gz,1.0,0.0,0.0
disqus_yot9TTDxB8.jsonl.gz,1.0,0.0,0.0
jamessheives.jsonl.gz,1.0,0.0,0.0
disqus_BquUEKqPMx.jsonl.gz,1.0,0.0,0.0
annamessenger.jsonl.gz,1.0,0.0,0.0
stankreis.jsonl.gz,1.0,0.0,0.0
johnlcozad.jsonl.gz,1.0,0.0,0.0
Incredulous_of_Disqus.jsonl.gz,1.0,0.0,0.0
disqus_svzKTkbeva.jsonl.gz,1.0,0.0,0.0
Gladi8rr.jsonl.gz,1.0,0.0,0.0
lhfry.jsonl.gz,1.0,0.0,0.0
disqus_0x03PYrCgr.jsonl.gz,1.0,0.0,0.0
LibyaWest.jsonl.gz,2.0,0.0,0.0
josephupton.jsonl.gz,1.0,0.0,0.0
calgar62.jsonl.gz,1.0,0.0,0.0
johnmws.jsonl.gz,1.0,0.0,0.0
valeryane.jsonl.gz,1.0,0.0,0.0
NanaG3.jsonl.gz,1.0,0.0,0.0
alcorprop.jsonl.gz,1.0,0.0,0.0
NicLizD.jsonl.gz,1.0,0.0,0.0
DynoSauR.jsonl.gz,1.0,0.0,0.0
wally11881.jsonl.gz,1.0,0.0,0.0
bryan_hinnen.jsonl.gz,1.0,0.0,0.0
buddythecat.jsonl.gz,1.0,0.0,0.0
tslateone.jsonl.gz,1.0,0.0,0.0
disqus10101.jsonl.gz,1.0,0.0,0.0
DEIDREA58.jsonl.gz,1.0,0.0,0.0
disqus_LFQH6MNGHB.jsonl.gz,1.0,0.0,0.0
ddeanpe.jsonl.gz,1.0,0.0,0.0
disqus_WePPw9PNE4.jsonl.gz,1.0,0.0,0.0
john_tetreault.jsonl.gz,1.0,0.0,0.0
Doobie_Moonwart.jsonl.gz,1.0,0.0,0.0
imtiredofallthis.jsonl.gz,1.0,0.0,0.0
mannycampos.jsonl.gz,1.0,0.0,0.0
johnantonowitch.jsonl.gz,1.0,0.0,0.0
suedurhammitchell.jsonl.gz,1.0,0.0,0.0
aubreyjohndebliquy.jsonl.gz,1.0,0.0,0.0
disqus_uqkuGqQjQt.jsonl.gz,1.0,0.0,0.0
william_phelps.jsonl.gz,1.0,0.0,0.0
tchall.jsonl.gz,1.0,0.0,0.0
Longfellowwalker.jsonl.gz,1.0,0.0,0.0
disqus_zemjRYjRRe.jsonl.gz,1.0,0.0,0.0
ronmexico.jsonl.gz,1.0,0.0,0.0
disqus_Kcj7gKY02u.jsonl.gz,2.0,0.0,0.0
bobthebeefman.jsonl.gz,1.0,0.0,0.0
AvantiBev.jsonl.gz,1.0,0.0,0.0
disqus_xDd7tn93cX.jsonl.gz,1.0,0.0,0.0
carmencluck.jsonl.gz,1.0,0.0,0.0
mickflynn.jsonl.gz,2.0,0.0,0.0
disqus_XSuQ7WY1ZX.jsonl.gz,1.0,0.0,0.0
billjeanxyz.jsonl.gz,1.0,0.0,0.0
Harry_Bergeron.jsonl.gz,1.0,0.0,0.0
patrickolivergriswold.jsonl.gz,1.0,0.0,0.0
waynefincke.jsonl.gz,1.0,0.0,0.0
lenjlem.jsonl.gz,1.0,0.0,0.0
CanKonservative.jsonl.gz,1.0,0.0,0.0
disqus_TCQzAi7aka.jsonl.gz,1.0,0.0,0.0
jcwinkies.jsonl.gz,1.0,0.0,0.0
CrashJackson.jsonl.gz,1.0,0.0,0.0
peterstoops.jsonl.gz,1.0,0.0,0.0
joeusooner.jsonl.gz,2.0,0.0,0.0
ralphsidway.jsonl.gz,1.0,0.0,0.0
jcasteele.jsonl.gz,1.0,0.0,0.0
wbarrettpowell.jsonl.gz,1.0,0.0,0.0
methusalah2.jsonl.gz,1.0,0.0,0.0
disqus_JnXy9YN3bk.jsonl.gz,1.0,0.0,0.0
mosaicwolf.jsonl.gz,1.0,0.0,0.0
barneylcornett.jsonl.gz,1.0,0.0,0.0
davidshaker.jsonl.gz,1.0,0.0,0.0
Mahon1.jsonl.gz,1.0,0.0,0.0
enottingham.jsonl.gz,1.0,0.0,0.0
miataforthesoul.jsonl.gz,1.0,0.0,0.0
kurt1524.jsonl.gz,1.0,0.0,0.0
billbattis.jsonl.gz,1.0,0.0,0.0
stangahpa.jsonl.gz,1.0,0.0,0.0
flyfire555.jsonl.gz,1.0,0.0,0.0
upsshooter.jsonl.gz,1.0,0.0,0.0
oilybarry.jsonl.gz,1.0,0.0,0.0
jwieser52.jsonl.gz,1.0,0.0,0.0
BillCarrier.jsonl.gz,1.0,0.0,0.0
RUR5A.jsonl.gz,1.0,0.0,0.0
disqus_ytifemJDDW.jsonl.gz,1.0,0.0,0.0
disqus_go494OBxXk.jsonl.gz,1.0,0.0,0.0
